Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Simeulue,85,35,38,54,212,250.88
Aceh Singkil,406,322,423,434,382.85,452.07
Aceh Selatan,42,48,81,242,259.97,182.22
Aceh Tenggara,359,270,330,264,311.14,298.59
Aceh Timur,333,260,415,495,527.93,465.84
Aceh Tengah,153,143,229,456,177.36,110.15
Aceh Barat,97,30,412,251,298.09,547.59
Aceh Besar,345,105,303,423,356.58,224.34
Pidie,384,87,113,132,216.39,166.08
Bireuen,491,411,381,513,627.92,554.68
Aceh Utara,365,292,199,216,262.74,294.81
Aceh Barat Daya,132,120,329,197,295.51,170.38
Gayo Lues,166,145,197,128,224.18,145.87
Aceh Tamiang,97,109,133,162,93.64,139.98
Nagan Raya,367,327,569,686,788.19,1018.36
Aceh Jaya,556,588,570,539,569.8,662.08
Bener Meriah,255,244,207,218,208.51,348.74
Pidie Jaya,435,100,169,557,707.36,624.46
Kota Banda Aceh,271,213,248,197,375.87,282.23
Kota Sabang,313,467,330,248,245.74,208.92
Kota Langsa,92,44,161,249,154.2,157.79
Kota Lhokseumawe,500,323,358,445,458.86,325.68
Kota Subulussalam,85,143,234,395,425.2,280.44
Nias,1,1,4,33,6.43,13.41
Mandailing Natal,320,399,405,362,428.01,455.19
Tapanuli Selatan,51,54,62,158,125.07,160.84
Tapanuli Tengah,141,135,177,195,211.11,238.77
Tapanuli Utara,153,88,177,169,186.6,270.11
Toba Samosir,315,263,401,359,254.41,361.59
Labuhan Batu,150,116,123,169,157.66,155.82
Asahan,146,100,106,114,125.56,126.45
Simalungun,55,81,50,92,76.9,76.49
Dairi,187,235,214,226,285.5,286.49
Karo,231,241,291,288,275.73,327.88
Deli Serdang,98,99,132,112,145.26,115.33
Langkat,99,75,87,123,111.16,101.15
Nias Selatan,55,87,22,7,75,61.19
Humbang Hasundutan,178,170,203,213,185.37,195.15
Pakpak Bharat,103,124,149,144,193.09,192.09
Samosir,193,388,305,323,338,329.92
Serdang Bedagai,85,66,67,86,99.13,110.66
Batu Bara,104,75,108,129,107.09,94.42
Padang Lawas Utara,39,48,40,82,91.77,101.09
Padang Lawas,136,216,187,177,243.25,277.72
Labuhan Batu Selatan,75,110,75,105,115.39,88.22
Labuhan Batu Utara,98,145,127,126,123.04,93.12
Nias Utara,68,7,11,10,29.09,23.46
Nias Barat,3,2,-,1,5.67,1.21
Kota Sibolga,27,55,67,59,45.84,99.08
Kota Tanjung Balai,165,181,177,176,228.31,274.68
Kota Pematang Siantar,153,106,154,112,144.79,221.11
Kota Tebing Tinggi,43,45,87,112,67.54,141.15
Kota Medan,136,131,147,163,122.78,129.11
Kota Binjai,75,81,117,114,120.74,110.46
Kota Padangsidimpuan,120,86,72,74,76.07,113.36
Kota Gunungsitoli,30,59,66,66,21.17,72.62
Kepulauan Mentawai,82,93,67,214,330.72,180.98
Pesisir Selatan,96,72,109,72,69.77,82.75
Solok,86,105,55,73,69.41,37.55
Sijunjung,51,46,74,73,134.54,107.31
Tanah Datar,84,64,111,82,92,58.32
Padang Pariaman,106,126,124,113,136.39,237.56
Agam,173,119,139,169,221.98,166.8
Lima Puluh Kota,36,40,42,68,94.45,110.94
Pasaman,246,172,124,102,83.6,109.38
Solok Selatan,74,100,92,176,228.06,157.3
Dharmasraya,89,59,46,39,33.57,67.51
Pasaman Barat,301,184,246,297,526.67,460.41
Kota Padang,172,168,202,231,253.42,207.21
Kota Solok,131,153,187,194,248.91,135.55
Kota Sawah Lunto,68,73,82,77,85.63,92.79
Kota Padang Panjang,68,59,162,96,112.88,103.46
Kota Bukittinggi,169,90,56,108,156.63,110.04
Kota Payakumbuh,87,109,94,111,94.15,105.76
Kota Pariaman,94,66,58,183,80.1,135.85
Kuantan Singingi,38,51,86,102,94.41,68.66
Indragiri Hulu,114,94,88,111,67.4,106.67
Indragiri Hilir,463,458,414,490,426.98,479.67
Pelalawan,184,189,282,301,373.95,275.67
Siak,129,140,160,88,114.71,146.4
