Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Simeulue,435,501,476,410,440.89,481.39
Aceh Singkil,397,543,479,427,476.45,589.44
Aceh Selatan,480,445,510,558,552.2,487.35
Aceh Tenggara,496,454,447,386,427.42,562.88
Aceh Timur,319,363,372,394,445.12,374.5
Aceh Tengah,560,454,494,660,531.68,417.6
Aceh Barat,380,316,314,300,301.81,313.03
Aceh Besar,271,238,343,411,437.74,383.93
Pidie,345,333,416,396,388.79,437.69
Bireuen,410,357,371,442,414.77,357.52
Aceh Utara,341,347,322,336,501.31,595.64
Aceh Barat Daya,470,508,341,330,351.69,360.03
Gayo Lues,475,500,428,435,485.87,489.7
Aceh Tamiang,268,242,275,306,370.72,267.5
Nagan Raya,468,401,376,510,605.05,696.29
Aceh Jaya,375,469,456,394,358.94,477.03
Bener Meriah,430,307,483,472,459.13,385.91
Pidie Jaya,336,331,427,358,407.75,445.61
Kota Banda Aceh,314,296,284,330,437.26,281.93
Kota Sabang,347,276,410,431,381.75,438.55
Kota Langsa,248,234,261,267,307.09,328.38
Kota Lhokseumawe,293,234,317,306,306.65,272
Kota Subulussalam,383,474,445,520,464.68,553.38
Nias,493,540,490,403,418.36,461.53
Mandailing Natal,515,539,565,542,473.73,578.78
Tapanuli Selatan,632,655,576,548,505.4,615.02
Tapanuli Tengah,267,346,327,295,337.26,345.45
Tapanuli Utara,447,491,491,578,598.2,662.87
Toba Samosir,356,423,490,490,465.67,581.16
Labuhan Batu,375,367,388,358,517.16,486.6
Asahan,317,290,278,354,395.36,384.73
Simalungun,344,306,395,332,373.21,435.19
Dairi,499,498,413,448,425.73,377.94
Karo,616,612,587,582,624.53,659.66
Deli Serdang,366,315,363,350,530.17,351.89
Langkat,323,339,340,433,419.38,480.94
Nias Selatan,420,538,452,559,574.49,724.64
Humbang Hasundutan,523,482,530,539,508.64,659.86
Pakpak Bharat,595,692,590,510,536.92,651.19
Samosir,386,407,362,387,332.43,424.45
Serdang Bedagai,360,351,334,347,387.89,381.22
Batu Bara,356,341,342,366,357.16,358.8
Padang Lawas Utara,552,540,571,508,504.84,583.2
Padang Lawas,577,478,556,553,567.97,523.98
Labuhan Batu Selatan,564,402,414,450,434.1,455.27
Labuhan Batu Utara,419,425,327,329,328.11,392.13
Nias Utara,396,425,433,468,400.57,489.13
Nias Barat,456,384,437,356,322.17,304.08
Kota Sibolga,171,183,196,215,205.36,281.13
Kota Tanjung Balai,264,246,318,257,358.9,415.6
Kota Pematang Siantar,333,275,279,274,371.42,382.91
Kota Tebing Tinggi,347,352,344,302,400.91,430.49
Kota Medan,315,276,296,292,393.99,336.26
Kota Binjai,371,314,405,400,425.89,499.43
Kota Padangsidimpuan,418,355,375,358,433.51,405.76
Kota Gunungsitoli,421,262,331,390,434.2,444.45
Kepulauan Mentawai,508,563,703,541,598.53,581
Pesisir Selatan,457,443,441,463,410.07,445.83
Solok,461,505,466,495,534.66,508.8
Sijunjung,460,405,396,359,406.1,355.79
Tanah Datar,306,355,349,400,334.25,322.27
Padang Pariaman,416,388,376,358,360.59,381.21
Agam,429,429,380,428,432.01,422.33
Lima Puluh Kota,387,391,384,361,325.07,386.38
Pasaman,508,449,392,371,389.29,305.73
Solok Selatan,546,504,526,589,603.49,749.76
Dharmasraya,413,333,415,369,365.66,340.9
Pasaman Barat,453,481,398,440,526.1,446.68
Kota Padang,256,211,246,251,367.04,270.67
Kota Solok,226,208,192,240,246.46,259.13
Kota Sawah Lunto,355,326,347,368,383.93,334.32
Kota Padang Panjang,201,221,175,236,254.31,285.47
Kota Bukittinggi,244,172,222,283,274.94,241.39
Kota Payakumbuh,247,247,220,225,239.06,281.99
Kota Pariaman,282,225,215,280,230.41,222.47
Kuantan Singingi,550,435,450,482,433.9,558.7
Indragiri Hulu,316,283,320,424,384.3,464.9
Indragiri Hilir,408,384,396,424,430.21,400.56
Pelalawan,522,436,534,519,629.65,683.34
Siak,353,447,405,441,502.35,502.24
Kampar,432,384,446,450,507.6,481.59
Rokan Hulu,495,428,474,585,511.53,462.77
Bengkalis,382,431,447,459,461.29,607.91
Rokan Hilir,440,452,458,475,431.82,470.7
Kepulauan Meranti,360,351,313,404,375.32,442.13
Kota Pekanbaru,253,287,314,292,319.48,286.36
Kota Dumai,347,353,321,374,409.61,351.28
Kerinci,262,305,363,417,469.26,369.4
Merangin,277,360,389,344,300.23,295.76
Sarolangun,396,479,416,407,356.62,350.06
Batang Hari,255,282,294,318,365.76,365.05
Muaro Jambi,325,351,359,346,387.05,405.65
Tanjung Jabung Timur,232,260,298,277,300.81,406.61
Tanjung Jabung Barat,253,278,337,309,377.15,393.4
Tebo,301,278,245,302,374.9,322.18
Bungo,302,248,239,291,223.78,191.25
Kota Jambi,221,145,152,179,267.22,249.24
Kota Sungai Penuh,257,317,308,407,304.06,303.64
Ogan Komering Ulu,466,371,297,304,377.17,362
Ogan Komering Ilir,450,449,511,499,526.1,564.98
Muara Enim,425,376,385,378,433.5,380.56
Lahat,492,505,370,353,460.38,495.21
Musi Rawas,390,382,390,361,366.21,433.25
Musi Banyuasin,434,372,542,519,576.12,538.48
Banyu Asin,444,443,433,490,519.49,466.54
Ogan Komering Ulu Selatan,521,511,399,348,425.3,584.91
Ogan Komering Ulu Timur,336,361,304,344,399.18,356.78
Ogan Ilir,277,282,305,334,349.94,312.9
Empat Lawang,485,487,443,682,526.25,553.55
Penukal Abab Lematang Ilir,467,518,467,494,555.64,500.99
Musi Rawas Utara,415,375,326,317,382,351.62
Kota Palembang,258,248,252,255,267.28,289.92
Kota Prabumulih,283,246,283,249,377.88,371.01
Kota Pagar Alam,313,352,267,282,337.22,328.65
Kota Lubuklinggau,276,213,174,240,336.31,246.47
Bengkulu Selatan,407,405,361,402,385.09,350.58
Rejang Lebong,371,359,300,372,328.88,436.2
Bengkulu Utara,419,414,349,363,331.21,392.27
Kaur,513,563,560,656,496.03,602.77
Seluma,446,388,395,429,442.78,502.52
Mukomuko,480,426,467,344,397.77,443.17
Lebong,423,431,355,335,428.16,408.65
Kepahiang,352,239,242,287,263.18,292.34
Bengkulu Tengah,414,334,342,257,332.97,379.18
Kota Bengkulu,239,202,222,210,281.21,316.38
Lampung Barat,515,409,443,430,501.74,534.13
Tanggamus,445,379,357,315,391.63,457
Lampung Selatan,436,426,383,386,492.81,536.24
Lampung Timur,357,296,345,401,419.25,454.63
Lampung Tengah,417,376,336,396,403.03,557.94
Lampung Utara,515,407,362,359,423.56,493.82
Way Kanan,558,405,448,467,450.42,464.15
Tulangbawang,371,334,299,343,383.99,419.72
Pesawaran,387,358,406,372,380.34,393.31
Pringsewu,367,327,323,342,338.75,380.9
Mesuji,529,374,419,377,382.16,455.59
Tulang Bawang Barat,414,368,339,354,312.09,540.6
Pesisir Barat,496,458,412,429,355.78,430.21
Kota Bandar Lampung,297,259,298,253,319.21,263.47
Kota Metro,275,212,186,185,154.14,182.08
