Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Simeulue,175,184,149,151,188.35,264.31
Aceh Singkil,238,168,233,191,382.16,441.28
Aceh Selatan,112,158,247,123,104.78,92.5
Aceh Tenggara,302,244,273,290,252.42,310.01
Aceh Timur,247,320,311,358,282.89,244.14
Aceh Tengah,355,432,388,406,267.65,236.22
Aceh Barat,205,202,276,362,351.6,252.17
Aceh Besar,431,358,453,461,482.94,368.18
Pidie,202,277,193,315,447.2,234.59
Bireuen,248,220,239,339,365.26,221.41
Aceh Utara,113,192,156,175,247.12,209.29
Aceh Barat Daya,101,130,122,141,141.25,148.83
Gayo Lues,336,454,318,424,322.27,420.84
Aceh Tamiang,349,341,343,285,380.51,344.33
Nagan Raya,367,299,427,453,458.05,773.04
Aceh Jaya,311,318,271,391,309.49,307.23
Bener Meriah,395,312,410,339,469.3,358.13
Pidie Jaya,266,248,474,346,360.27,295.49
Kota Banda Aceh,671,418,408,554,850.06,587.73
Kota Sabang,343,763,674,585,647.98,624.86
Kota Langsa,448,478,483,383,411.24,315.23
Kota Lhokseumawe,444,264,289,399,290.69,389.37
Kota Subulussalam,118,283,279,236,202.25,263.01
Nias,65,45,28,95,73.46,124.21
Mandailing Natal,183,159,163,167,192.41,177.44
Tapanuli Selatan,207,217,259,204,188.21,216.27
Tapanuli Tengah,86,120,136,170,178.78,203.86
Tapanuli Utara,227,177,266,337,289.44,390.15
Toba Samosir,404,304,325,415,481.88,579.28
Labuhan Batu,410,446,480,532,556.6,531.31
Asahan,516,464,548,512,510.49,531.24
Simalungun,423,380,497,484,366.41,501.41
Dairi,300,244,311,294,300.9,270.48
Karo,325,305,372,332,452.59,365.4
Deli Serdang,531,546,539,458,595.04,442.42
Langkat,398,535,464,487,561.38,507.09
Nias Selatan,109,154,138,122,79.83,47.26
Humbang Hasundutan,145,214,174,302,210.62,248.32
Pakpak Bharat,261,425,293,359,361.93,354.28
Samosir,186,207,197,313,438,352.47
Serdang Bedagai,532,549,547,574,697.49,622.21
Batu Bara,412,422,461,440,561.1,507.76
Padang Lawas Utara,429,349,411,543,631.19,614
Padang Lawas,296,324,339,366,464.65,312.31
Labuhan Batu Selatan,578,531,615,587,583.16,507.45
Labuhan Batu Utara,388,486,460,459,512.85,483.41
Nias Utara,131,148,90,92,99.92,46.27
Nias Barat,130,114,144,104,57.05,61.21
Kota Sibolga,256,259,237,195,362.54,225.46
Kota Tanjung Balai,448,418,473,428,464.02,491.61
Kota Pematang Siantar,459,302,328,357,404.32,461.21
Kota Tebing Tinggi,594,700,601,556,581.72,614.89
Kota Medan,717,534,601,637,737.39,807.11
Kota Binjai,490,503,573,629,692.89,615.03
Kota Padangsidimpuan,298,185,248,201,227.87,180.81
Kota Gunungsitoli,137,113,115,170,79.23,120.39
Kepulauan Mentawai,360,185,244,205,291.54,283.73
Pesisir Selatan,97,98,93,62,91.55,97.74
Solok,95,101,89,58,82.52,184.21
Sijunjung,158,111,167,177,118.99,221.75
Tanah Datar,168,128,159,156,138.81,137.08
Padang Pariaman,113,129,133,119,99.64,144.73
Agam,159,194,138,212,205,193.77
Lima Puluh Kota,138,159,100,118,134.33,86.17
Pasaman,84,107,121,88,99.43,111.4
Solok Selatan,131,143,61,199,155.09,221.75
Dharmasraya,321,283,399,327,358.79,291.19
Pasaman Barat,94,160,114,94,184.06,75.42
Kota Padang,220,193,207,306,298.54,202.26
Kota Solok,142,173,234,240,249.77,204.61
Kota Sawah Lunto,255,238,256,362,340.12,361.78
Kota Padang Panjang,238,244,279,256,291.8,298.9
Kota Bukittinggi,193,261,327,280,277.68,141.23
Kota Payakumbuh,258,212,174,205,197.45,259.71
Kota Pariaman,176,201,224,205,193.3,159.8
Kuantan Singingi,360,288,380,408,496.58,414.57
Indragiri Hulu,459,581,473,554,470.66,615.03
Indragiri Hilir,638,561,582,664,659.73,534.64
Pelalawan,821,587,721,720,523.59,765.38
Siak,645,671,498,543,410.46,607.65
Kampar,507,479,474,613,528.04,525.35
Rokan Hulu,553,397,514,579,536.69,469.25
Bengkalis,363,586,575,557,632.17,757.25
Rokan Hilir,565,505,585,536,602.01,535.59
Kepulauan Meranti,345,322,361,334,419.69,479.89
Kota Pekanbaru,404,358,493,434,472.13,415.37
Kota Dumai,493,509,426,554,486.32,545.3
Kerinci,73,81,154,191,224.9,146.41
Merangin,233,337,339,245,263.07,286.54
Sarolangun,310,359,302,359,464.88,436.74
Batang Hari,386,386,467,458,446.96,564.59
Muaro Jambi,639,667,553,734,716.54,679.52
Tanjung Jabung Timur,480,394,399,537,647.79,753.65
Tanjung Jabung Barat,535,550,582,671,684.31,572.26
Tebo,514,411,368,376,415.02,317.6
Bungo,293,212,312,334,462.9,342.83
Kota Jambi,689,470,491,622,669.98,673.19
Kota Sungai Penuh,182,181,174,144,93.84,139.19
Ogan Komering Ulu,751,687,655,620,650.09,649.26
Ogan Komering Ilir,570,544,701,882,728.71,776.2
Muara Enim,650,594,644,744,572.46,609.04
