Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Simeulue,24,41,37,46,74.24,53.73
Aceh Singkil,68,93,81,131,149.18,111.57
Aceh Selatan,155,123,150,168,174.92,149.61
Aceh Tenggara,108,92,113,120,115.67,136.52
Aceh Timur,196,186,242,277,320.57,223.58
Aceh Tengah,289,233,276,245,234.94,200.35
Aceh Barat,111,81,94,114,126.42,175.58
Aceh Besar,115,138,124,141,200.29,174
Pidie,279,358,373,410,479.75,408.4
Bireuen,179,177,184,257,228.2,189.39
Aceh Utara,194,170,121,160,182.06,185.26
Aceh Barat Daya,86,98,122,158,145.17,165.16
Gayo Lues,289,302,269,324,324.16,273.26
Aceh Tamiang,113,112,114,154,148.94,116.48
Nagan Raya,81,102,134,192,288.33,358.54
Aceh Jaya,166,255,218,185,144.54,186.23
Bener Meriah,224,204,262,278,216.36,213.51
Pidie Jaya,352,418,593,398,438.98,479.02
Kota Banda Aceh,101,62,79,75,133.79,95.06
Kota Sabang,141,132,210,161,208.3,156.26
Kota Langsa,115,130,173,171,138.07,121.11
Kota Lhokseumawe,193,120,129,211,164.78,115.32
Kota Subulussalam,52,82,83,111,147.33,130.82
Nias,14,3,20,10,11.32,29.52
Mandailing Natal,28,25,31,39,34.26,40.92
Tapanuli Selatan,18,12,24,34,52.19,44.01
Tapanuli Tengah,6,22,27,30,35.35,44.31
Tapanuli Utara,55,36,65,64,71.51,119.06
Toba Samosir,48,41,55,47,50.3,81.2
Labuhan Batu,141,158,176,182,158.82,173.44
Asahan,151,140,138,168,153.41,178.17
Simalungun,106,125,115,112,129.36,142.85
Dairi,73,38,39,81,87.31,81.74
Karo,55,73,88,83,85.01,116.44
Deli Serdang,111,110,123,101,142.7,100.81
Langkat,108,103,107,129,161.08,146.79
Nias Selatan,8,34,26,8,8.28,14
Humbang Hasundutan,22,31,41,39,27.28,65.69
Pakpak Bharat,49,107,87,90,113.05,102.06
Samosir,34,13,24,25,41.69,44.74
Serdang Bedagai,137,145,105,124,147.03,163.85
Batu Bara,140,132,153,141,175.09,192.71
Padang Lawas Utara,54,67,47,56,68.25,89.53
Padang Lawas,42,59,69,53,119.7,71.21
Labuhan Batu Selatan,157,188,175,172,207.83,207.27
Labuhan Batu Utara,139,138,139,144,121.52,140.76
Nias Utara,16,7,1,6,14.28,3.7
Nias Barat,16,36,6,19,15.13,6.02
Kota Sibolga,14,12,20,23,19.13,18.85
Kota Tanjung Balai,69,70,68,66,100.08,107.88
Kota Pematang Siantar,76,72,61,93,78.29,106.66
Kota Tebing Tinggi,65,78,89,83,93.75,108.7
Kota Medan,116,84,85,77,154.27,105.99
Kota Binjai,91,110,106,118,157.16,182.21
Kota Padangsidimpuan,38,19,42,18,16.82,16.13
Kota Gunungsitoli,21,19,24,41,8.7,18.68
Kepulauan Mentawai,27,4,8,44,16.7,46.25
Pesisir Selatan,35,21,28,37,44.38,43.12
Solok,11,24,17,27,16.29,32.23
Sijunjung,27,34,38,39,33.23,47.53
Tanah Datar,38,21,68,29,41.66,22.8
Padang Pariaman,40,45,44,50,42.2,47.15
Agam,29,54,51,43,44.51,44.18
Lima Puluh Kota,1,2,4,2,6.93,3.68
Pasaman,23,11,9,12,23.56,16.86
Solok Selatan,97,98,73,110,146.28,132.93
Dharmasraya,79,73,114,97,76.79,76.85
Pasaman Barat,38,47,45,43,87.16,31.67
Kota Padang,36,26,37,44,44.76,52.96
Kota Solok,12,14,16,27,19.48,9.16
Kota Sawah Lunto,53,41,62,72,100.2,94.41
Kota Padang Panjang,7,21,28,17,60.97,15.65
Kota Bukittinggi,37,22,20,51,51.28,16.12
Kota Payakumbuh,7,15,8,13,20.51,18.72
Kota Pariaman,45,55,53,66,49.93,78.84
Kuantan Singingi,96,106,82,128,117.53,93.86
Indragiri Hulu,138,125,122,161,153.04,176.43
Indragiri Hilir,126,104,137,120,128.26,119.92
Pelalawan,177,156,267,151,172.14,207.61
Siak,129,122,119,129,116.12,241.04
Kampar,123,126,149,122,144.76,145.28
Rokan Hulu,123,137,192,247,147.42,196.36
Bengkalis,118,112,154,103,132.1,144.25
Rokan Hilir,245,253,249,259,253.65,210.58
Kepulauan Meranti,69,70,99,123,109.9,142.19
Kota Pekanbaru,59,38,60,63,75.04,54.55
Kota Dumai,50,72,74,90,117.41,101.84
Kerinci,22,45,29,52,78.95,60.14
Merangin,122,82,76,87,48.33,55.06
Sarolangun,103,95,67,79,64.77,106.28
Batang Hari,141,154,180,135,128.5,177.88
Muaro Jambi,164,157,185,212,260.22,210.62
Tanjung Jabung Timur,150,152,177,163,246.4,214.91
Tanjung Jabung Barat,85,82,123,108,136.44,91.1
Tebo,141,165,184,159,168.96,148.46
Bungo,75,76,78,89,133.92,134.48
Kota Jambi,109,87,112,178,128.72,90.82
Kota Sungai Penuh,57,62,43,29,32.47,30.95
Ogan Komering Ulu,131,113,138,122,133.42,123.02
Ogan Komering Ilir,129,152,186,278,268.27,239.63
Muara Enim,57,55,81,61,77.09,102.57
Lahat,70,99,91,124,92.4,138.37
Musi Rawas,84,166,207,144,195.48,198.06
Musi Banyuasin,114,152,182,250,264.32,235.29
Banyu Asin,125,170,176,221,270.1,226.72
Ogan Komering Ulu Selatan,65,75,65,75,74.61,76.14
Ogan Komering Ulu Timur,142,152,158,172,185.44,124.47
Ogan Ilir,28,29,61,45,42.35,73.06
Empat Lawang,29,32,74,60,124.64,160.61
Penukal Abab Lematang Ilir,97,58,76,54,63.89,86.13
Musi Rawas Utara,68,84,60,74,58.17,81.55
Kota Palembang,64,54,69,83,81.75,65.23
Kota Prabumulih,67,53,71,51,53.05,101.18
Kota Pagar Alam,56,95,64,121,90.61,86.38
Kota Lubuklinggau,87,42,37,70,98.12,105.05
Bengkulu Selatan,33,55,85,125,83.45,64.81
Rejang Lebong,65,52,51,69,90.15,91.22
Bengkulu Utara,203,157,154,197,145,186.53
Kaur,64,93,65,119,114.91,86.75
Seluma,71,80,118,119,127.67,160.9
Mukomuko,173,101,134,183,146.16,97.84
Lebong,44,54,63,77,73.33,63.6
Kepahiang,65,63,80,76,70.1,87.23
Bengkulu Tengah,102,67,114,64,90.9,101.16
Kota Bengkulu,86,55,96,72,125.14,90.71
Lampung Barat,134,120,120,96,142.22,183.61
Tanggamus,135,170,182,184,179.24,279.54
Lampung Selatan,150,138,183,186,196.04,196.32
Lampung Timur,189,180,158,201,207.14,219.61
Lampung Tengah,173,181,204,222,254.32,303.55
Lampung Utara,119,143,98,97,152.19,166.56
Way Kanan,201,203,216,195,206.24,238.09
Tulangbawang,159,153,147,176,181.09,143.9
Pesawaran,136,168,208,210,187.89,182.36
Pringsewu,179,169,187,209,143.65,165.13
Mesuji,197,151,174,175,215.05,196.44
Tulang Bawang Barat,196,162,182,218,225.97,250.69
Pesisir Barat,75,123,148,154,106.3,97.46
Kota Bandar Lampung,91,79,80,153,159,108.02
Kota Metro,170,96,117,120,93.56,113.1
Bangka,74,42,54,51,80.42,93.32
Belitung,41,59,44,77,169.29,44.99
Bangka Barat,90,60,69,84,98.08,69.92
Bangka Tengah,66,66,55,71,65.2,76.09
Bangka Selatan,50,64,67,28,44.34,50.52
Belitung Timur,35,37,55,73,111,34.08
Kota Pangkal Pinang,61,69,75,100,133.53,95.05
Karimun,123,168,147,127,173.13,157.16
Bintan,135,125,136,198,181.49,175.45
Natuna,199,152,176,174,177.47,243.92
Lingga,53,97,87,165,156.29,124.18
Kepulauan Anambas,165,144,100,125,125.75,257.12
Kota Batam,111,119,137,158,158.31,123.56
Kota Tanjung Pinang,128,77,120,138,104.32,106.08
Kep. Seribu,209,302,278,289,361.48,139.29
Kota Jakarta Selatan,134,115,154,158,183.34,118.71
Kota Jakarta Timur,132,94,118,151,183.67,135.08
Kota Jakarta Pusat,63,66,97,73,85.88,80.16
Kota Jakarta Barat,97,88,79,88,107.39,96.85
Kota Jakarta Utara,117,94,94,125,127.48,169.92
Bogor,106,115,139,145,147.05,125.45
Sukabumi,50,84,79,79,89.11,77.44
Cianjur,47,44,54,87,44.16,45.05
Bandung,87,103,94,110,79.67,82.18
Garut,73,51,67,75,110.11,95.63
Tasikmalaya,57,65,71,96,93.94,58.55
Ciamis,58,79,60,83,96.41,89.17
