Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Simeulue,47,72,44,38,78.05,70.92
Aceh Singkil,82,78,97,144,172.51,127.19
Aceh Selatan,74,41,73,79,60.72,87.15
Aceh Tenggara,89,83,88,114,124.35,134.84
Aceh Timur,130,195,236,236,243.56,170.83
Aceh Tengah,168,102,122,213,110.66,179.56
Aceh Barat,61,72,89,136,118.5,105.36
Aceh Besar,115,118,112,184,220.72,164.65
Pidie,144,195,184,181,270.73,180.13
Bireuen,156,152,108,212,208.14,188.01
Aceh Utara,173,202,125,150,221.57,211.16
Aceh Barat Daya,40,55,80,73,84.72,78.76
Gayo Lues,139,170,142,154,216.35,173.98
Aceh Tamiang,84,94,93,101,190.58,124.34
Nagan Raya,150,167,190,214,246.54,316.35
Aceh Jaya,138,104,105,103,153.63,155.71
Bener Meriah,160,111,111,138,176.31,142.54
Pidie Jaya,270,325,397,330,355.87,300.74
Kota Banda Aceh,188,95,111,174,216.37,162.07
Kota Sabang,89,183,228,176,255.66,242.67
Kota Langsa,103,135,141,161,168.34,172.87
Kota Lhokseumawe,204,127,139,245,211.75,194.49
Kota Subulussalam,73,94,89,108,142.49,139.97
Nias,17,5,7,50,60.12,67.98
Mandailing Natal,36,40,39,51,38.09,34.36
Tapanuli Selatan,35,27,33,61,103.7,79.59
Tapanuli Tengah,20,38,42,63,53.12,59.34
Tapanuli Utara,83,52,77,73,117.1,144.86
Toba Samosir,80,87,70,96,113.33,170.58
Labuhan Batu,139,120,131,149,177.39,165.36
Asahan,147,129,121,162,146.27,178.79
Simalungun,126,123,113,120,121.33,190.4
Dairi,146,67,85,93,111.26,106.36
Karo,102,122,136,84,138.68,137.67
Deli Serdang,122,101,105,83,165.82,99.42
Langkat,105,96,84,103,157.66,143.07
Nias Selatan,15,33,44,61,32.46,15.63
Humbang Hasundutan,36,51,53,56,48.28,71.94
Pakpak Bharat,58,99,91,81,89.57,89.24
Samosir,72,43,46,32,45.63,90.98
Serdang Bedagai,98,122,89,122,145.26,124.71
Batu Bara,92,88,90,92,124.97,154.78
Padang Lawas Utara,67,96,62,61,95.79,118.63
Padang Lawas,29,64,51,79,142.4,120.72
Labuhan Batu Selatan,184,194,182,197,232.26,245.91
Labuhan Batu Utara,117,153,121,150,157.2,144.81
Nias Utara,34,20,18,10,27.82,28.32
Nias Barat,36,52,22,38,34.94,42.69
Kota Sibolga,40,28,43,39,39.36,38.71
