Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Simeulue,45,68,25,21,9.49,17.17
Aceh Singkil,41,12,34,63,89.32,96.49
Aceh Selatan,63,40,83,32,29.97,15.03
Aceh Tenggara,15,19,35,19,35.04,19.06
Aceh Timur,17,36,42,15,35.67,28.71
Aceh Tengah,56,84,110,142,32.42,38.95
Aceh Barat,38,12,35,120,29.87,49.5
Aceh Besar,57,59,79,93,106.77,93.58
Pidie,18,16,13,23,35.03,23.49
Bireuen,6,31,7,28,52.93,42.04
Aceh Utara,7,29,5,12,32.61,36.79
Aceh Barat Daya,25,20,5,31,24.89,25.93
Gayo Lues,69,112,106,67,62.41,46.14
Aceh Tamiang,35,13,25,27,31.22,21.18
Nagan Raya,38,97,166,133,120.36,167.34
Aceh Jaya,34,95,65,77,148.53,93.94
Bener Meriah,30,36,16,99,80.21,94.19
Pidie Jaya,3,13,37,29,22.56,27.44
Kota Banda Aceh,202,86,113,177,268.6,147.85
Kota Sabang,64,203,74,121,96.51,65.61
Kota Langsa,95,100,168,137,142.02,89.07
Kota Lhokseumawe,124,69,35,107,63.85,74.07
Kota Subulussalam,47,48,44,53,51.97,56.33
Nias,4,7,3,11,24.91,5.3
Mandailing Natal,6,9,9,2,24.65,6.22
Tapanuli Selatan,36,22,3,19,1.86,14.31
Tapanuli Tengah,6,12,24,35,12.67,35.3
Tapanuli Utara,10,6,9,30,34.17,30.46
Toba Samosir,49,52,24,40,90.43,20.05
Labuhan Batu,62,23,74,79,64.46,64.68
Asahan,48,55,30,52,76.32,69.41
Simalungun,47,30,40,27,33.61,50.71
Dairi,16,19,13,20,35.42,13.56
Karo,42,32,26,33,68.77,68.96
Deli Serdang,85,92,60,79,118.25,54.27
Langkat,36,45,24,26,70.87,74.87
Nias Selatan,17,21,-,18,1,3.05
Humbang Hasundutan,-,27,6,15,41.47,51.8
Pakpak Bharat,2,31,23,9,19.15,57.85
Samosir,5,37,39,23,53.11,62
Serdang Bedagai,33,30,37,61,41.24,46.81
Batu Bara,11,11,34,45,81.13,47.01
Padang Lawas Utara,13,12,14,31,32.83,34.64
Padang Lawas,15,15,6,47,19.95,10.45
Labuhan Batu Selatan,23,36,12,54,53.42,72.75
Labuhan Batu Utara,10,24,22,63,17.62,16.77
Nias Utara,-,8,6,12,4.17,7.26
Nias Barat,4,38,25,8,5.91,23.38
Kota Sibolga,15,31,13,24,56.22,17.89
Kota Tanjung Balai,74,76,96,37,101.06,97.6
Kota Pematang Siantar,47,53,47,69,49.06,61.77
Kota Tebing Tinggi,64,70,105,88,117.31,99.87
Kota Medan,233,113,174,157,267.03,290.65
Kota Binjai,99,85,100,105,121.34,121.54
Kota Padangsidimpuan,83,13,29,20,30.47,49.52
Kota Gunungsitoli,17,-,13,30,10.03,7.73
Kepulauan Mentawai,70,23,26,44,50.62,90.55
Pesisir Selatan,17,27,6,27,31.5,34.58
Solok,20,18,26,17,10.92,67.94
Sijunjung,31,8,22,39,41.52,46.15
Tanah Datar,22,13,49,29,45.12,22.9
Padang Pariaman,21,31,30,25,25.1,44.1
Agam,29,46,34,77,51.2,34.02
Lima Puluh Kota,27,70,48,35,25.54,16.83
Pasaman,13,29,9,28,12.63,3.37
Solok Selatan,20,25,23,28,21.24,64.36
Dharmasraya,89,54,66,66,64.89,52.62
Pasaman Barat,17,25,2,42,25.97,9.82
Kota Padang,85,49,82,142,132.49,84.15
Kota Solok,53,25,51,77,66.47,96.55
Kota Sawah Lunto,21,54,43,132,83.92,63.46
Kota Padang Panjang,66,85,76,73,101.16,116.26
Kota Bukittinggi,87,79,179,173,138.88,81.8
Kota Payakumbuh,65,53,46,43,69.2,122.62
Kota Pariaman,32,18,75,77,44.87,55.1
Kuantan Singingi,88,61,69,126,88.1,184.07
Indragiri Hulu,78,122,83,131,179.8,235.77
Indragiri Hilir,175,109,154,126,222.26,138.51
Pelalawan,177,178,194,233,134.56,213.22
Siak,163,120,131,107,88.03,195.99
Kampar,127,145,104,99,110.11,88.91
Rokan Hulu,75,99,105,90,108.64,91.96
Bengkalis,61,121,113,106,134.08,193.8
Rokan Hilir,154,103,133,113,199.73,144.51
Kepulauan Meranti,88,96,103,85,79.45,150.98
Kota Pekanbaru,127,84,111,129,208.62,143.37
Kota Dumai,118,47,54,115,116.11,120.56
Kerinci,20,11,41,93,102.36,92.64
Merangin,35,36,62,41,64.74,52.38
Sarolangun,62,46,23,43,78.68,78.48
Batang Hari,62,100,33,68,48.88,87.73
Muaro Jambi,89,154,51,178,112.44,130.7
Tanjung Jabung Timur,40,54,35,103,96.66,189.14
