Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Simeulue,53,55,50,55,72.34,67.94
Aceh Singkil,88,58,91,99,200.67,203.01
Aceh Selatan,56,97,125,86,57.29,77.91
Aceh Tenggara,213,108,128,114,144.66,177.89
Aceh Timur,122,152,143,129,136.55,122.85
Aceh Tengah,411,339,301,425,360.95,228.29
Aceh Barat,47,61,99,83,90.43,84.76
Aceh Besar,85,72,44,64,121.22,78.53
Pidie,51,54,57,91,76.09,70.28
Bireuen,85,54,75,103,134.98,92.55
Aceh Utara,69,81,101,70,122.38,104.07
Aceh Barat Daya,125,85,108,92,83.37,123.21
Gayo Lues,184,292,237,285,255.48,355.53
Aceh Tamiang,187,166,238,247,205.03,207.68
Nagan Raya,99,88,132,146,117.78,272.92
Aceh Jaya,19,64,42,49,77.91,88.58
Bener Meriah,559,460,432,453,457,369.6
Pidie Jaya,90,60,113,105,108.5,85.96
Kota Banda Aceh,89,52,64,90,170.57,91.09
Kota Sabang,73,93,104,110,188.53,141.1
Kota Langsa,224,201,271,227,227.99,235.01
Kota Lhokseumawe,92,72,96,117,94.16,90.31
Kota Subulussalam,47,41,58,79,105.43,61.4
Nias,1,5,1,6,8.61,0.97
Mandailing Natal,10,11,23,18,59.93,26.38
Tapanuli Selatan,37,22,16,30,41.76,51.05
Tapanuli Tengah,8,11,6,17,10.03,8.79
Tapanuli Utara,4,6,5,10,5.39,21.97
Toba Samosir,12,2,10,8,7.76,20.69
Labuhan Batu,150,154,157,128,153.28,185.64
Asahan,138,74,66,106,126.58,122
Simalungun,52,58,55,54,59.94,86.96
Dairi,14,3,11,3,4.48,10.61
Karo,54,23,30,24,41.07,22
Deli Serdang,113,112,111,100,130.74,88.3
Langkat,148,141,157,177,200.65,177.61
Nias Selatan,3,3,5,-,5.54,11.13
Humbang Hasundutan,-,-,4,7,13.53,57
Pakpak Bharat,22,19,26,39,22.03,10.88
Samosir,3,3,3,9,4.98,16.51
Serdang Bedagai,121,109,102,132,154.76,131.4
Batu Bara,67,87,77,87,85.51,124.12
Padang Lawas Utara,78,68,63,83,125.38,86.87
Padang Lawas,30,28,38,49,76.73,78.94
Labuhan Batu Selatan,117,136,111,120,141.75,130
Labuhan Batu Utara,83,103,123,113,107.73,98.97
Nias Utara,9,9,6,1,10.81,6.25
Nias Barat,13,11,1,7,-,0.47
Kota Sibolga,2,9,5,5,15.56,9.43
Kota Tanjung Balai,73,72,56,67,99.18,137.52
Kota Pematang Siantar,23,15,27,31,21.58,62.66
Kota Tebing Tinggi,71,79,80,101,86.19,88.98
Kota Medan,92,63,53,72,90.92,84.54
Kota Binjai,101,109,120,137,150.29,174.46
Kota Padangsidimpuan,26,14,16,20,21.07,22.39
Kota Gunungsitoli,6,10,13,11,10.29,10.68
Kepulauan Mentawai,4,1,11,21,16.8,11.91
Pesisir Selatan,19,14,13,14,19.81,20.72
Solok,9,10,16,8,15.63,19.91
Sijunjung,15,9,19,46,15.12,22
Tanah Datar,11,8,5,8,5.5,4.88
Padang Pariaman,8,17,15,8,12.47,10.83
Agam,12,11,8,14,15.04,7.83
Lima Puluh Kota,7,3,10,6,3.58,5.94
Pasaman,7,3,13,11,6.24,12.54
Solok Selatan,23,17,19,16,19.84,22.57
Dharmasraya,45,47,46,48,45.2,36.77
Pasaman Barat,15,6,15,8,18.93,15.93
Kota Padang,27,20,21,26,46.93,38.54
Kota Solok,25,26,25,39,37.3,11.15
Kota Sawah Lunto,15,23,41,37,56.66,46.42
Kota Padang Panjang,17,11,16,24,37.66,23.44
Kota Bukittinggi,20,35,20,21,21.35,8.37
Kota Payakumbuh,13,16,12,8,19.62,23.43
Kota Pariaman,8,9,5,22,10.38,9.59
Kuantan Singingi,46,48,47,52,68.53,50.01
Indragiri Hulu,106,140,142,132,122.23,173.59
Indragiri Hilir,174,202,161,195,131.16,155.05
Pelalawan,152,86,161,246,153.31,224.99
Siak,77,100,75,83,128.67,128.41
Kampar,80,98,81,100,85,62.31
Rokan Hulu,95,95,129,142,103.18,93.17
Bengkalis,87,74,97,73,107.8,162.13
Rokan Hilir,136,165,179,289,245.85,215.68
Kepulauan Meranti,73,80,99,70,67.04,146.79
Kota Pekanbaru,46,25,36,37,35.25,30.08
Kota Dumai,51,61,61,112,90.69,93.76
Kerinci,7,11,8,31,44.18,10.35
Merangin,54,59,69,88,48.51,71.75
Sarolangun,104,109,71,78,49.71,85.84
Batang Hari,108,122,125,105,79.92,151.73
Muaro Jambi,132,116,129,148,113.91,159.1
Tanjung Jabung Timur,106,94,133,110,132.99,109.59
Tanjung Jabung Barat,149,170,130,136,182.84,151
Tebo,109,69,101,93,92.84,53.6
Bungo,73,63,55,50,56.75,93.07
Kota Jambi,110,81,82,111,109.87,106.38
Kota Sungai Penuh,23,25,16,19,10.31,27.97
Ogan Komering Ulu,289,239,282,261,303.36,280.11
