Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Simeulue,12,31,23,24,26.48,20.53
Aceh Singkil,99,122,144,177,216.09,210.72
Aceh Selatan,69,100,78,104,137.86,106.06
Aceh Tenggara,275,193,267,277,323.64,411.22
Aceh Timur,125,186,148,148,201.16,285.25
Aceh Tengah,329,267,308,394,273.63,294.67
Aceh Barat,83,46,62,104,100.33,94.96
Aceh Besar,127,116,109,105,202.17,159.35
Pidie,200,252,282,307,346.18,255.17
Bireuen,130,158,81,173,174.84,163.01
Aceh Utara,102,123,80,111,150.58,204.96
Aceh Barat Daya,75,79,109,117,103.33,74.34
Gayo Lues,578,658,680,785,686.97,610.98
Aceh Tamiang,96,117,108,152,128.19,145.55
Nagan Raya,87,111,141,262,311.95,382.71
Aceh Jaya,109,144,149,88,134.55,139.9
Bener Meriah,316,279,357,408,389.72,363.58
Pidie Jaya,228,259,371,376,502.46,437.41
Kota Banda Aceh,124,31,101,77,220.87,107.01
Kota Sabang,62,79,135,103,187.08,173.95
Kota Langsa,99,105,134,137,122.11,140.99
Kota Lhokseumawe,168,92,123,184,156.55,98.15
Kota Subulussalam,104,102,132,152,171.47,185.26
Nias,3,-,-,10,12.86,18.46
Mandailing Natal,31,31,45,64,47.25,60.43
Tapanuli Selatan,15,26,38,55,80.55,56.01
Tapanuli Tengah,18,41,24,50,35.85,67.02
Tapanuli Utara,216,136,212,262,315.69,386.63
Toba Samosir,341,391,400,398,412.75,553.45
Labuhan Batu,153,161,189,211,211.73,248.23
Asahan,179,151,159,194,185.13,184.97
Simalungun,187,234,238,321,303.81,245.72
Dairi,292,316,248,316,297.37,322.82
Karo,357,390,456,505,445.89,484.45
Deli Serdang,171,159,176,152,236.57,148.5
Langkat,95,118,144,161,180.75,171.98
Nias Selatan,16,10,8,-,16.98,11.37
Humbang Hasundutan,255,289,333,313,337.51,410.64
Pakpak Bharat,176,250,233,285,372.71,373.22
Samosir,281,366,430,549,424.44,459.22
Serdang Bedagai,151,156,126,160,178.61,194.71
Batu Bara,154,154,182,180,190.82,232.7
Padang Lawas Utara,78,89,59,88,109.62,114.55
Padang Lawas,57,69,79,47,120.38,96.89
Labuhan Batu Selatan,206,201,197,212,260.9,246.48
Labuhan Batu Utara,230,174,205,188,198.41,188.07
Nias Utara,1,4,-,7,3.91,14.78
Nias Barat,4,-,-,5,3.06,1.19
Kota Sibolga,10,11,17,28,28.17,21.83
Kota Tanjung Balai,106,106,119,124,115.85,179.14
Kota Pematang Siantar,187,179,159,190,219.55,274.07
Kota Tebing Tinggi,85,93,116,117,117.06,170.21
Kota Medan,175,134,128,125,196.53,181.5
Kota Binjai,130,145,135,126,177.92,210.05
Kota Padangsidimpuan,47,23,40,29,28.84,25.48
Kota Gunungsitoli,3,2,11,14,0.9,19.01
Kepulauan Mentawai,10,3,3,21,19.93,17.04
Pesisir Selatan,28,11,28,21,31.4,29.46
Solok,9,21,13,11,25.23,23.46
Sijunjung,11,16,18,16,22.54,45.5
Tanah Datar,17,23,40,31,34.43,22.32
Padang Pariaman,4,8,9,10,10.46,9.09
Agam,13,29,38,19,41.14,19.9
Lima Puluh Kota,7,1,2,5,9.64,8.97
Pasaman,14,20,43,32,17.71,32.94
Solok Selatan,37,14,14,50,44.34,44.85
Dharmasraya,93,73,86,94,75.85,68.44
Pasaman Barat,19,18,16,10,82.15,13.14
Kota Padang,16,7,8,24,33.39,34.01
Kota Solok,7,12,19,11,10.91,3.4
Kota Sawah Lunto,27,24,24,25,43.94,44.76
Kota Padang Panjang,26,37,35,18,73.41,22.38
Kota Bukittinggi,34,19,24,33,36.65,33.58
Kota Payakumbuh,10,10,2,7,7.62,20.5
Kota Pariaman,2,3,1,8,5.64,11.92
Kuantan Singingi,133,157,101,143,148.82,125.02
Indragiri Hulu,114,127,132,186,153.99,183.34
Indragiri Hilir,85,85,123,132,130.02,111.13
Pelalawan,224,187,185,151,213.73,219.4
Siak,140,111,122,145,177.55,259.87
Kampar,157,134,160,165,241.13,198.16
Rokan Hulu,168,174,224,269,227.14,248.71
Bengkalis,86,108,110,91,143.7,186.46
Rokan Hilir,326,339,294,326,324.49,359.42
Kepulauan Meranti,44,21,44,57,78.22,82.14
Kota Pekanbaru,73,40,70,65,94.87,57.27
Kota Dumai,78,97,117,122,148.53,113.76
Kerinci,13,12,14,37,49.28,24.86
Merangin,87,57,54,55,55.51,62.2
Sarolangun,77,85,60,80,61.34,90.36
Batang Hari,132,130,149,115,140.64,134.21
Muaro Jambi,177,143,185,213,243.82,208.14
Tanjung Jabung Timur,128,125,143,158,207.65,194.62
Tanjung Jabung Barat,74,90,114,123,122.61,87.36
Tebo,138,141,176,147,145.06,126.59
Bungo,68,74,79,105,141.28,107.81
Kota Jambi,103,88,94,134,123.41,109.28
Kota Sungai Penuh,21,42,21,35,33.04,22.9
Ogan Komering Ulu,132,106,116,99,129.46,119.44
Ogan Komering Ilir,149,224,229,308,259.71,280.46
Muara Enim,42,61,71,81,120.82,121.61
Lahat,152,171,179,254,254.15,301.49
