Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Simeulue,291,325,261,279,349.17,552.43
Aceh Singkil,204,238,253,286,285.85,330.9
Aceh Selatan,104,106,121,177,189.93,176.16
Aceh Tenggara,152,200,123,139,219.66,190.4
Aceh Timur,98,122,97,134,125.14,150.09
Aceh Tengah,235,228,200,338,313.52,316.6
Aceh Barat,80,98,109,194,146.93,116.58
Aceh Besar,70,93,81,116,151.89,113.47
Pidie,82,67,88,116,143.08,204.28
Bireuen,39,26,22,66,75.43,62.47
Aceh Utara,66,104,75,87,150,139.13
Aceh Barat Daya,109,91,117,113,142.55,147.91
Gayo Lues,145,202,134,224,197.6,178.93
Aceh Tamiang,159,140,158,273,188.72,192.87
Nagan Raya,226,160,166,302,280.7,345.66
Aceh Jaya,100,101,134,157,159.89,231.18
Bener Meriah,184,205,182,275,265.43,256.15
Pidie Jaya,70,66,123,82,90.81,68.68
Kota Banda Aceh,87,68,80,109,132.84,108.56
Kota Sabang,103,109,137,213,218.37,218.13
Kota Langsa,141,125,143,185,226.16,181.13
Kota Lhokseumawe,46,45,72,81,87.27,86.93
Kota Subulussalam,146,121,193,264,272.8,363.17
Nias,134,194,167,193,167.45,277.89
Mandailing Natal,129,135,198,204,163.98,184.86
Tapanuli Selatan,159,136,131,216,220.58,229.05
Tapanuli Tengah,149,150,186,220,198.65,199.99
Tapanuli Utara,133,107,126,176,214.35,222.93
Toba Samosir,116,123,145,190,164.35,173.41
Labuhan Batu,165,173,165,172,200.38,266.39
Asahan,158,131,132,129,192.29,202.38
Simalungun,153,142,145,217,220.84,268.67
Dairi,119,141,122,132,158.76,131.2
Karo,94,96,125,109,117.03,111.11
Deli Serdang,187,174,216,225,244.45,266.02
Langkat,132,177,192,240,301.31,269.92
Nias Selatan,124,186,182,176,257.68,253.56
Humbang Hasundutan,132,163,110,155,152.25,181.74
Pakpak Bharat,114,209,207,198,189,234.95
Samosir,86,89,35,51,104.86,93.06
Serdang Bedagai,219,221,190,218,293.87,294.94
Batu Bara,128,142,156,197,215.93,227.64
Padang Lawas Utara,197,203,196,196,225.61,221.56
Padang Lawas,176,191,238,278,300.51,261.38
Labuhan Batu Selatan,288,299,349,358,366.93,375.47
Labuhan Batu Utara,166,123,194,213,172.25,173.61
Nias Utara,195,186,216,252,282.47,335.03
Nias Barat,170,114,109,126,191.1,247.57
