Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Simeulue,42,7,11,24,10.31,0.52
Aceh Singkil,17,18,5,5,8.14,17.13
Aceh Selatan,1,10,4,4,0.71,2.95
Aceh Tenggara,23,31,27,6,19.77,6.38
Aceh Timur,2,12,6,4,4.4,20.65
Aceh Tengah,2,17,-,40,4.65,32.99
Aceh Barat,9,48,4,58,37.58,66.38
Aceh Besar,45,67,86,19,65.77,42.76
Pidie,2,1,7,7,16.24,7
Bireuen,14,4,2,8,2.93,17.16
Aceh Utara,-,2,-,10,18.94,21.22
Aceh Barat Daya,2,-,2,-,6.41,1.05
Gayo Lues,24,16,7,38,15.01,15.17
Aceh Tamiang,13,8,7,1,19.4,15.75
Nagan Raya,13,38,23,31,25.42,151.89
Aceh Jaya,3,29,34,12,19.07,70.09
Bener Meriah,4,1,1,21,22.4,42.33
Pidie Jaya,-,4,11,22,6.94,2.43
Kota Banda Aceh,104,67,112,138,155.62,182.42
Kota Sabang,93,51,127,98,130.1,160.45
Kota Langsa,18,52,54,82,81.83,61.25
Kota Lhokseumawe,65,42,72,82,48.96,121.05
Kota Subulussalam,-,10,2,4,12.37,8.62
Nias,5,-,6,7,1.21,3.57
Mandailing Natal,5,20,18,3,1.65,7.2
Tapanuli Selatan,16,2,1,-,4.19,-
Tapanuli Tengah,1,9,9,10,0.22,13.21
Tapanuli Utara,3,3,3,7,22.62,17.33
Toba Samosir,18,20,3,28,21.98,17.54
Labuhan Batu,23,12,11,6,6.43,33.61
Asahan,16,15,5,28,26.84,18.84
Simalungun,9,6,21,15,0.82,39.47
Dairi,11,4,2,11,11.88,1.41
Karo,4,2,4,22,27.21,5.4
Deli Serdang,43,35,35,33,78.11,16.96
Langkat,13,19,2,16,20.4,29.28
Nias Selatan,18,3,7,7,6.73,15
Humbang Hasundutan,6,-,17,8,3.86,2.37
Pakpak Bharat,2,13,18,4,9.98,15.05
Samosir,3,12,29,6,42.58,33.39
