Kabupaten/Kota,2018,2019,2020,2021,2022,2023
Simeulue,87,58,97,56,140.83,142.63
Aceh Singkil,106,36,45,122,106.52,113.75
Aceh Selatan,53,46,58,41,54.09,20.76
Aceh Tenggara,96,63,136,120,183.71,156
Aceh Timur,94,94,116,76,286.98,244.34
Aceh Tengah,135,115,92,205,336.93,233.9
Aceh Barat,173,150,244,267,208.69,176.55
Aceh Besar,93,83,104,147,90.44,206.16
Pidie,81,134,183,197,162.81,236.06
Bireuen,108,74,67,166,307.03,128.32
Aceh Utara,81,153,198,280,345.38,192.9
Aceh Barat Daya,20,28,53,27,33.66,29.23
Gayo Lues,147,155,112,135,180.45,165.53
Aceh Tamiang,150,86,112,133,196.81,266.59
Nagan Raya,30,32,150,96,128.45,217.05
Aceh Jaya,66,69,78,61,90.54,131.57
Bener Meriah,328,137,300,261,349.85,366.73
Pidie Jaya,26,79,144,138,112.23,84.13
Kota Banda Aceh,167,179,238,368,252.22,197.34
Kota Sabang,81,128,142,161,131.9,81.25
Kota Langsa,245,194,287,254,283.85,561.89
Kota Lhokseumawe,180,228,259,403,267.17,365.39
Kota Subulussalam,79,87,77,60,87.38,102.92
Nias,99,83,195,204,219,224.04
Mandailing Natal,117,92,94,118,242.38,260.31
Tapanuli Selatan,96,141,60,128,149.75,203.19
Tapanuli Tengah,42,58,58,51,96,57.13
Tapanuli Utara,162,104,105,147,169.87,145.5
Toba Samosir,84,50,81,132,174.56,131.88
Labuhan Batu,99,98,128,80,66.98,182.7
Asahan,89,121,82,90,152.25,106.86
Simalungun,80,84,106,81,89.19,262.23
Dairi,122,66,68,66,74.22,136.78
Karo,118,91,216,187,212.34,249.56
Deli Serdang,91,81,136,124,116.77,191.3
Langkat,89,56,51,78,101.91,145.59
Nias Selatan,139,131,191,233,458.43,509.83
Humbang Hasundutan,70,95,95,130,151.65,166.19
Pakpak Bharat,88,78,17,50,76.2,53.34
Samosir,237,122,169,114,111.83,109.77
Serdang Bedagai,83,99,72,157,125.77,92.58
Batu Bara,71,34,94,96,117.09,112.1
Padang Lawas Utara,57,57,47,63,129.32,112.02
Padang Lawas,237,169,154,146,290.66,326.79
Labuhan Batu Selatan,101,108,69,122,119.24,127.07
Labuhan Batu Utara,29,91,68,117,139.42,166.68
Nias Utara,90,146,113,181,178.34,152
Nias Barat,129,77,154,120,62.68,135.18
Kota Sibolga,21,23,29,70,112.28,177.76
Kota Tanjung Balai,210,200,253,267,254.73,258.64
Kota Pematang Siantar,95,88,133,75,94.4,212.23
Kota Tebing Tinggi,74,78,134,228,222.06,316.24
Kota Medan,224,223,261,260,294.74,394.31
Kota Binjai,61,106,44,70,105.43,153.68
Kota Padangsidimpuan,169,145,110,155,149.37,205
Kota Gunungsitoli,108,62,103,100,271.53,160.03
Kepulauan Mentawai,108,29,125,276,53.66,63.69
Pesisir Selatan,35,63,46,85,87.42,79.02
Solok,79,131,105,154,209.78,212.47
Sijunjung,72,53,97,94,139.61,138.08
